CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
Ashley Black Guru,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Atrium - Garden of Life,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Auria,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,6,0,,,0,0,,,2,3,4,
Auto Magic,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,094",187,-100%,-100%,0,0,"52,628","1,861",-100%,-100%,0,0,44,-100%,0,0,44,-100%,5,41,,
BPI Sports,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,0,80%,0,0,0,-100%,1,12,7,
Baby Foot,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Bala,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,455,7,-100%,-100%,0,0,1,-97%,0,0,1,-100%,13,63,657,
Bauerfeind,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
BioBidet,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Bioma,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"409,443","7,850",-100%,-100%,0,0,"3,340,648","63,587",-100%,-100%,"4,446",342,"7,469",-95%,0,0,"7,469",-100%,"1,171","39,736",3,
Bioschwartz,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,11,1,,,0,0,,,0,0,0,
Bird Buddy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Bradshaw Home,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,"9,280",714,,,0,0,,,0,0,0,
Breathe Sanitizer,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,104,8,,,0,0,,,0,0,0,
Bucked Up,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
